ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concadtBC,len(no_of_char),sumif,averageif,countifs
96,sport,51,4292,165600,1,44.71540833,11.30830002,5950,sport 51,5,4400.023708,25136.2891,1
97,pop,51,1066,28000,1,41.7690506,12.66281033,8500,pop 51,3,1172.431861,5382.061694,1
98,sport,51,2009,86000,2,40.63317108,17.63460922,7800,sport 51,5,2120.26778,13703.32397,0
99,lounge,51,456,18592,2,45.39360046,10.48223972,10900,lounge 51,6,564.8758402,4294.410834,0
100,pop,51,731,41558,2,45.5712204,9.159139633,8790,pop 51,3,838.73036,7312.532909,0
101,pop,51,4018,96000,2,44.29430008,9.674440384,5700,pop 51,3,4124.96874,15117.99553,0
102,lounge,51,701,19000,1,41.26411057,13.74499035,10000,lounge 51,6,808.0091009,4259.0013,1
103,lounge,51,397,18183,1,41.83264923,12.75259972,9970,lounge 51,6,503.585249,4094.512178,1
104,lounge,51,1066,69916,1,41.80298996,12.59893036,8980,lounge 51,6,1172.40192,11439.05742,1
105,pop,51,2647,75500,1,44.50883865,11.46907997,7500,pop 51,3,2754.977919,12250.99685,1
106,pop,51,1827,39500,1,45.67340088,9.926890373,9800,pop 51,3,1934.600291,7319.514327,1
107,lounge,51,397,17250,1,41.90322113,12.49565029,10050,lounge 51,6,503.3988714,3972.62841,1
108,pop,51,3835,128000,1,45.76464844,8.99450016,4900,pop 51,3,8841.759149,19549.10845,1
109,pop,51,366,12929,1,45.55654907,9.534469604,9400,pop 51,3,473.0910187,3257.727288,1
110,lounge,51,3562,113254,2,44.30582047,8.483639717,6100,lounge 51,6,3667.78946,17575.11278,0
111,lounge,51,366,18000,1,41.26411057,13.74499035,10700,lounge 51,6,473.0091009,4168.287014,1
112,lounge,51,397,16643,1,41.83264923,12.75259972,9970,lounge 51,6,503.585249,3874.512178,1
113,lounge,51,2892,92300,1,43.88206863,11.10035038,7500,lounge 51,6,2998.982419,14686.2832,1
114,lounge,51,640,34873,1,40.85889816,14.35719013,9500,lounge 51,6,747.2160883,6446.459441,1
115,sport,51,4018,102000,1,41.35784912,13.42463017,6500,sport 51,5,4124.782479,16089.82607,1
116,lounge,51,397,16135,1,45.35776901,9.612210274,10650,lounge 51,6,503.9699793,3899.138568,1
117,lounge,51,3865,95350,1,41.90322113,12.49565029,5500,lounge 51,6,3971.398871,14975.19984,1
118,lounge,51,425,19909,1,45.72071838,7.321430206,10950,lounge 51,6,530.0421486,4484.863164,1
119,lounge,51,425,16518,1,44.39997101,8.274499893,11000,lounge 51,6,529.6744709,4007.524924,1
120,pop,62,3135,113000,1,45.43811035,12.31814957,5800,pop 62,3,3255.75626,17436.82232,1
121,pop,51,1096,50000,1,40.92166901,14.19626999,9500,pop 51,3,1203.117939,8672.159706,1
122,pop,62,3013,120000,1,45.06967926,7.704919815,4900,pop 62,3,8028.774599,18290.11066,1
123,lounge,51,3227,105000,1,45.6848793,9.717909813,6500,lounge 51,6,3334.402789,16405.62897,1
124,lounge,51,2831,104000,1,45.96493149,12.6445303,6000,lounge 51,6,2941.609462,16135.22992,1
125,pop,51,2831,56779,4,41.90322113,12.49565029,7500,pop 51,3,2940.398871,8402.799859,0
126,lounge,51,397,17590,1,41.83264923,12.75259972,9970,lounge 51,6,503.585249,4009.797893,1
127,pop,51,1127,7772,1,41.06985092,15.05898952,9000,pop 51,3,1235.12884,2572.732691,1
128,lounge,51,2861,85000,1,45.6095314,10.20856953,7700,lounge 51,6,2968.818101,13667.6883,1
129,lounge,51,3623,75900,1,43.78237152,11.25498962,6300,lounge 51,6,3730.037361,12276.43391,1
130,lounge,51,1127,21400,1,44.33253098,7.545919895,9500,lounge 51,6,1230.878451,4590.839779,1
